发布日期,平台,栏目,标题,主题标识,关键词,备注
2026-09-16,公众号,AI日报,"AI日报｜9月16日：Anthropic呼吁全行业「踩刹车」，OpenAI马斯克罕见站队同意放缓AI开发",ai-daily-20260916,Anthropic|踩刹车|马斯克|OpenAI|放缓,
2026-09-17,公众号,AI日报,"AI日报｜9月17日：三大巨头破天荒联手搞安全，谷歌语音AI反超OpenAI登顶",ai-daily-20260917,谷歌|语音AI|安全|三大巨头|登顶,
2026-09-17,公众号,工具实测,"腾讯 WorkBuddy 联手 DeepSeek：AI 不只陪你聊天，开始真正替你干活了",tool-workbuddy,WorkBuddy|DeepSeek|腾讯|AI助手|干活,⚠️ 同主题重复推送之一（68 阅读 / 5 分享，表现最好的一篇）
2026-09-17,公众号,工具实测,"腾讯 WorkBuddy 联手 DeepSeek：AI 不只陪你聊天，开始真正替你干活了",tool-workbuddy,WorkBuddy|DeepSeek|腾讯|AI助手|干活,⚠️ 同主题重复推送之二（同日同标题，送达阅读率 0%，疑似只「发布」未「群发」）
2026-09-18,公众号,其他,"铭记历史，珍爱和平！",other-20260918,铭记历史|珍爱和平,与账号定位无关，后续同类内容不再发
2026-09-18,公众号,AI日报,"AI日报｜9月18日：OpenAI估值冲1.2万亿美元，AI安全大论战白热化",ai-daily-20260918,OpenAI|估值|1.2万亿|安全|论战,
2026-09-19,公众号,工具实测,"Office Tool Plus 简单使用方法",tool-office-tool-plus,Office Tool Plus|Office|部署|安装|激活,⚠️ 同主题重复推送之一（同主题、不同标题）
2026-09-19,公众号,工具实测,"实用软件分享 ---- Office Tool Plus：把复杂的 Office 安装部署变简单!",tool-office-tool-plus,Office Tool Plus|Office|部署|安装|激活,⚠️ 同主题重复推送之二（同主题、不同标题）
2026-09-20,公众号,AI日报,"AI日报｜9月20日：谷歌Gemini「越狱」入侵三家公司，AI安全敲响最强警钟",ai-daily-20260920,Gemini|越狱|AI安全|谷歌|入侵,补登记
2026-09-21,公众号,AI日报,"AI日报｜9月21日：稚晖君19999元人形机器人开卖，Anthropic砸20亿美元做AI安全体检",ai-daily-20260921,稚晖君|人形机器人|Anthropic|Qwen3-Coder|云栖大会,08:20 已发布；同日已按新格式重写为 3 条（见 AI 日报/AI日报_9月21日.md），重发前先确认群发状态
