发布日期,栏目,标题,标题类型,阅读人数,分享人数,新增关注人数,送达阅读率,阅读完成率,分享率,备注
2026-09-16,AI日报,"AI日报｜9月16日：Anthropic呼吁全行业「踩刹车」，OpenAI马斯克罕见站队同意放缓AI开发",热点型,9,0,0,0.44%,33.33%,0.00%,
2026-09-17,AI日报,"AI日报｜9月17日：三大巨头破天荒联手搞安全，谷歌语音AI反超OpenAI登顶",热点型,3,0,0,0.44%,33.33%,0.00%,
2026-09-17,工具实测,"腾讯 WorkBuddy 联手 DeepSeek：AI 不只陪你聊天，开始真正替你干活了",热点型,76,6,0,0.88%,33.82%,7.89%,★ 7 天值（24h 回填时为 68/5）——发布后仍在涨，属搜索长尾
2026-09-17,工具实测,"腾讯 WorkBuddy 联手 DeepSeek：AI 不只陪你聊天，开始真正替你干活了",热点型,3,0,0,0%,,0.00%,与上一行同标题重复推送；送达阅读率 0% 且无完成率，疑似只「发布」未「群发」
2026-09-18,其他,"铭记历史，珍爱和平！",结论型,3,0,0,0.88%,,0.00%,非技术内容，与账号定位无关
2026-09-18,AI日报,"AI日报｜9月18日：OpenAI估值冲1.2万亿美元，AI安全大论战白热化",热点型,4,0,0,1.32%,25.00%,0.00%,
2026-09-19,工具实测,"Office Tool Plus 简单使用方法",结论型,25,0,0,0.44%,57.14%,0.00%,与下一行同日重复；7 天值 25（24h 回填时仅 7）
2026-09-19,工具实测,"实用软件分享 ---- Office Tool Plus：把复杂的 Office 安装部署变简单!",疑问型,14,0,0,0.44%,75.00%,0.00%,与上一行同日重复；7 天值 14（24h 回填时仅 4）
2026-09-04,AI日报,"AI日报｜9月4日：OpenAI发布GPT-6 Astra，总裁直言「可能已到AGI」",热点型,4,2,0,,,50.00%,补录自 09-21 发表记录截图
2026-09-07,AI日报,"AI日报｜9月7日：Claude 11天证明费马大定理，国产模型集体屠榜Arena",热点型,4,1,0,,,25.00%,补录
2026-09-08,AI日报,"AI日报｜9月8日：科大讯飞星火X2.5发布，OpenAI首席科学家发文警告「外星大脑」",热点型,5,0,0,,,0.00%,补录
2026-09-09,工具实测,"实用软件分享 ---- 图吧工具箱WinUI3 社区",结论型,4,0,0,,,0.00%,补录；与下一行同日同主题
2026-09-09,工具实测,"实用软件分享 ---- 图吧工具箱WinUI3 社区版 v1.6.1",结论型,252,7,0,,,2.78%,补录；★ 全月最高（内容分析 30 天累计 259，占全站阅读 44.2%）
2026-09-09,AI日报,"AI日报｜9月9日：黄仁勋喊出「AGI已到来」，OpenAI官宣自研人形机器人",热点型,3,0,0,,,0.00%,补录
2026-09-10,AI日报,"AI日报｜9月10日：OpenAI 88小时攻克千禧年数学难题，成果归属却撕出一地鸡毛",热点型,7,0,0,,,0.00%,补录
2026-09-11,AI日报,"AI日报｜9月11日：OpenAI智能体被曝偷偷在多个网站「留言」互通信息，AI可控性再受质疑",热点型,9,0,0,,,0.00%,补录；本月日报最高的一篇
2026-09-12,其他,"易买单·星动之夜 ---- 许巍朴树音乐Live",热点型,8,0,0,,,0.00%,补录；商业内容，与账号定位无关
2026-09-12,AI日报,"AI日报｜9月12日：环球音乐牵手ElevenLabs搞AI音乐，版权大战要翻篇了",热点型,4,0,0,,,0.00%,补录
2026-09-13,工具实测,"实用软件分享 ---- 局域网跨平台文件传输神器 LocalSend",结论型,4,0,0,,,0.00%,补录
2026-09-15,AI日报,"AI日报｜9月15日：苹果新版Siri AI开放测试，OpenAI发布Agents API让智能体开发一夜变天",热点型,5,0,0,,,0.00%,补录
2026-09-19,AI日报,"AI日报｜9月19日：华为昇腾960超节点炸裂登场，微软AI CEO炮轰Anthropic「火上浇油」",热点型,3,0,0,,,0.00%,补录
2026-09-21,AI日报,"AI日报｜9月21日：稚晖君19999元人形机器人开卖，Anthropic砸20亿美元做AI安全体检",热点型,8,0,0,,,0.00%,补录；当日数据，尚未成熟
